T,TM,Tm,H,VV,V,VM,PM 2.5
14.1,22.2,5.8,61,1.8,4.3,11.1,287.34
15.1,23.6,8.2,64,1.1,3.9,13,331.2
12.1,19,7,84,0.6,8.5,16.5,355.4
12.6,19.2,8,85,1.1,6.1,11.1,181.74
11.8,19.4,8,88,0.6,8.3,16.5,156.26
13,20.8,7,67,2.1,10.4,22.2,143.66
16.3,23.2,8.9,67,1.3,8.5,14.8,272.45
12.1,19.4,6,57,2.4,13.1,22.2,94.44
11.1,18.2,5.6,67,2.1,7.8,59.4,134.57
15.8,25.1,7.8,60,1.6,3.9,11.1,262.68
19.3,28.5,7.8,54,2.1,5.2,11.1,314.59
16.7,28.5,12.6,77,1.8,14.1,25.9,175.49
13.6,21.7,10,77,1.6,9.1,14.8,81.2
12.1,19.4,6.8,64,1.8,9.4,14.8,101.61
10.6,17.4,5,74,1.9,10.7,18.3,136.47
15.1,20.9,10.7,60,2.6,10,18.3,204.25
14.1,22,9,79,1.1,11.9,18.3,178.68
11.7,16.6,8,96,0.6,11.9,18.3,177.32
12.4,18,8,92,0.6,6.9,14.8,131.1
15.2,19.2,9.6,94,1.9,13.9,27.8,65.65
13.4,20.2,8,74,2.4,9.4,18.3,72.29
13.3,20.8,7,71,2.4,8.5,18.3,82.5
19,25.4,12.6,62,1.6,7,13,198.26
17.2,25.4,13.9,80,1.6,13.5,22.2,153.73
16.4,21,13.2,85,1.4,10.6,18.3,123.46
18.8,23.5,13,76,1.6,6.9,11.1,126.12
18.1,21.2,16,81,2.6,11.7,22.2,102.3
21.7,29,14.8,64,2.7,10.4,18.3,73.33
17.5,26.4,11.5,55,2.9,9.6,25.9,92.36
15.7,22.4,11.2,64,3.2,9.8,24.1,59.97
14.7,21.6,10.5,69,3.2,8,18.3,47.18
17.1,24.9,8.8,54,2.9,7.4,18.3,93.83
14.7,19.2,12,84,2.3,8.3,20.6,109.6
17.2,22.5,11.7,84,2.3,6.7,18.3,62.92
19.3,28.2,11.2,54,2.6,7.4,14.8,104.61
20.4,28.2,12.8,54,3.1,7,14.8,92.07
20.2,27.6,13.6,53,3.2,10.6,22.2,73.31
18.7,24,14,60,2.9,3.3,11.1,89.17
17.3,25.2,12,71,2.6,10.6,22.2,111.2
18.7,27.2,10.1,64,2.3,12.4,22.2,74.88
23.6,32.4,14,45,2.7,9.3,14.8,103.77
26.3,34.4,17.8,41,2.7,9.3,22.2,89.82
24.8,32.2,18,48,3.4,9.6,16.5,112.29
22.6,31.8,16,55,2.9,11.5,18.3,65.0
23.7,31.4,16,50,3.5,11.3,22.2,75.82
24.4,33,16,45,2.9,8.1,18.3,78.37
27.8,36,18,34,3.4,13.1,22.2,58.96
26.4,37,16,33,3.2,10.6,22.2,59.08
27.3,36.9,18.4,32,3.7,6.9,14.8,90.1
28.7,38.2,18.7,34,3.5,7,18.3,85.02
29.1,40.4,22,51,2.4,12.4,27.8,152.91
28.3,37.5,20.5,46,2.9,6.9,20.6,81.3
29.8,38.2,21.8,42,3.2,5.9,13,87.74
31.6,39.2,23.8,32,4,13.7,24.1,55.93
32.4,39.6,23.9,31,3.7,13.7,18.3,51.51
32.6,41.2,24,30,3.7,11.9,29.4,54.84
26.3,33.6,19,46,3.1,8.7,14.8,71.62
28.8,36.3,20.5,36,3.1,5.4,13,90.55
31.9,39.2,22.9,31,3.1,7.6,18.3,95.24
34.5,42.2,25.4,25,3.1,10.9,22.2,82.37
34.8,42.2,25.6,22,3.5,15.6,33.5,73.06
34.8,43,25,17,3.1,13,27.8,76.44
34.9,43,25.5,23,2.9,6.9,14.8,111.57
32,40.4,26.4,30,2.9,16.5,55.4,77.72
30.7,40.3,25,35,3.4,10,18.3,52.16
34.8,43,24.2,19,2.6,9.6,27.8,128.78
35.5,43.6,26,20,3.1,10.7,25.9,143.34
35.4,43.6,27.6,20,2.9,13,27.8,137.2
31.1,41.5,24,35,2.3,10.2,33.5,170.81
30.6,37.2,23.4,37,3.5,8,20.6,58.22
29.1,36,22,47,3.2,8,22.2,84.81
31.4,41.4,24,44,2.9,8.7,37,92.4
29.6,41.4,23.9,53,3.4,12.6,24.1,43.86
32.2,39,24.6,35,4,13,20.6,43.66
37.2,45,26.5,20,3.9,8.5,20.6,74.8
