T,TM,Tm,H,VV,V,VM,PM 2.5
16.1,23.6,10.3,77,1,4.6,16.5,191.5
15.6,23.6,10.5,83,0.5,5,13,247.79
15.1,22,10,82,0.6,4.4,11.1,255.33
13.8,16,12,95,0.6,11.1,18.3,154.52
15,21,11.4,81,1.1,5.6,13,136.98
12.6,20.2,7,82,1,6.5,13,141.88
11.8,19.8,5.3,60,1.3,4.3,14.8,232.37
12.8,19.5,4.6,62,1.1,5.7,14.8,309.28
16.3,24,9,47,1.6,6.1,13,222.66
11.9,20.8,6,72,1,11.1,18.3,227.68
11.3,19.8,6,71,1,9.6,20.6,217.55
13.1,19.8,5,66,1.1,5,11.1,349.98
19.9,26,13.9,72,1.1,12.2,22.2,241.78
15.9,26,14,94,0.8,11.1,20.6,135.87
13.6,19,10,87,0.8,10.6,20.6,74.92
16.7,23.3,10,77,1,6.3,14.8,214.23
14.9,22.2,10,79,1.1,5,16.5,136.02
16.3,24.2,9.4,64,1.6,3.5,11.1,198.24
17.4,24.8,10.9,68,1.3,5.2,13,194.99
14.6,22,8,67,2.1,10.7,18.3,77.85
16.3,23.6,9,60,1.9,6.1,14.8,129.1
15.2,23.6,10,67,1.4,10.6,20.6,133.12
16.6,23.2,9,61,1.8,8.1,22.2,130.62
16.7,25.2,9,60,1.9,8.5,18.3,168.96
18.6,27,11,58,2.1,7.6,20.6,183.98
23.2,31,15,53,2.7,5.6,18.3,109.38
24.4,32.2,17,48,2.4,8.1,13,126.74
19.8,26.1,15,67,2.4,8,20.6,106.92
18.9,28,10,42,2.9,12.2,25.9,425.22
18.8,28,11,47,2.9,9.4,22.2,328.23
21.2,29.2,11,42,2.9,6.5,14.8,178.5
24.3,31.6,18.4,45,2.6,8.9,20.6,127.9
21.9,28.6,16,58,2.4,9.3,16.5,114.68
20.4,28.6,13.6,45,3.5,8.1,20.6,67.83
22.2,31.4,13,39,2.6,7.6,16.5,112.41
21.6,28.1,16,50,3.9,12,24.1,134.4
18.9,29.4,15,65,2.9,12.6,25.9,106.45
17.4,25,10,44,4.2,8,16.5,74.58
19.1,26.2,10.4,43,3.5,5.7,14.8,102.46
